<kiba>「ナルトじゃねーか！」=
<naruto>「キバ！！」=
<naruto>「おめェ　こんなとこで|なにしてんだってばよ！」=
<kiba>「それは　こっちの　セリフだっつーの！」=
<kiba>「オレたちは　任務のほうこくをおえて|依頼受付所から　でてきたとこだ」=
<kiba>「で？　おまえらは？？」=
<naruto>「へへん！　オレってば|でんせつの三忍さがしっつう」=
<naruto>「チョー　じゅうような|任務をしてるんだってばよ！！」=
<hinata>「ナ・・・　ナルトくん　すごい！」=
<kiba>（ナルトのやつ　でんせつの|三忍さがしだと！？）=
<kiba>（チィ・・・　このままだと|おいつくどころか　ひきはなされちまう）=
<akamaru>「クゥーン」=
<kiba>「やっぱり　おまえも　そうおもうか！|赤丸（あかまる）！！」=
<naruto>「赤丸・・・　なんだってばよ？」=
<kiba>「オレは　おまえたちの任務に|ついていく」=
<sakura>「ちょ・・・　ちょっと　まって！|そっちはそっちの班で　任務があるでしょ！」=
<sasuke>「おたがい　担当上忍が　いない・・・|といっても　かっては　ゆるされないはずだ」=
<kiba>「もうすこししたら　シノは　おやじさんと|とくべつ任務に　かりだされるらしい」=
<kiba>「シノがいないあいだ　オレとヒナタは|里のなかで　たいき・・・」=
<kiba>「ふたりで　任務するっつってもなぁ・・・|できる任務なんて　かぎられちまう」=
<kiba>「それならいっそ　おまえらについていきがてら|赤丸と修業するぜ！　オレは！」=
<hinata>「で・・・　でも　キバくん！　かってに|里のそとにでたら　やっぱり　まずいんじゃ…」=
<shino>「ヒナタのいうとおりだ　キバ|おまえは　里で　たいきするんだ」=
<kiba>「だーっ！　もう！！|いくったら　いくんだよ！」=
「里ンなかいたって　することねーしな|赤丸のカラダが　なまっちまう！」=
<akamaru>「ワン！　ワン！！」=
<sakura>「で・・・　どうする？」=
<naruto>「くんな！　っつっても　キバのことだから|ついてきそーな　きがするってばよ」=
<sasuke>「どうかんだな・・・」=
<kiba>「へっ！　きまったようだな！！」=
<kiba>「ところで　ナルト！　おまえ　戦闘ンときの|キャラクターのいれかえとか　しってんのか？」=
<narrator><instant>　しらない|　しってる<0B>=
<kiba>「つねに　戦闘（せんとう）にさんかできるのは|<blue>“せんぱつ”メンバー<black>の　３にんだけだ」=
<kiba>「だが　なかまが３にんいじょういるときは|<blue>“ひかえ”メンバー<black>に３にん　おくことができ」=
<kiba>「せんとうちゅうに　<blue>“いれかえ”<black>ることが|できるんだぜ！」=
<kiba>「“いれかえ”は　せんとうちゅうに|<blue>Ｒボタン<black>をおすと　いれかえることができるし」=
<kiba>「<blue>“フィールドコマンド”<black>で　<blue>“メンバー”<black>を|せんたくすると　いれかえできる」=
<kiba>「また　せんとうちゅうに　せんぱつメンバーが|こうどうふのうに　なったときは・・・」=
<kiba>「“ひかえ”のメンバーが|じどうてきに　とうじょうすンぜ！」=
<naruto>「オレってば　キバにおしえてもらわなくとも|そんくらいしってるってーの！」=
<kiba>「ヘッ！　おしえてくれって　たのんだって|おしえてやんねーからな」=
<kiba>「しりたくなったら　忍者学校の|<blue>２０１きょうしつ<black>にいって　きけよ！」=
<sakura>「そろそろ　しゅっぱつしましょう！」=
<hinata>「ナルトくん・・・　わ・・・　わたしからも|ひとつ・・・　いいかな・・・」=
<naruto>「・・・なんだ？　ヒナタ！」=
<hinata>「<blue>“がったい忍術”<black>と　<blue>“がったいこうげき”<black>に|ついてなんだけど・・・　きいてくれるかな？」=
<naruto>「きく！　きくってばよ！」=
<hinata>「とくていのなかまが　とくていの|たちいちにいたり・・・」=
<hinata>「とくていのなかまが　とくしゅなこうかの|じょうたいにあるとき・・・」=
<hinata>「きょうりょくな　“がったい忍術”を|つかうことが　できるばあいがあるの・・・」=
<hinata>「がったい忍術は　術をつかうふたりとも|チャクラをしょうひするから　きをつけて」=
<hinata>「それに　どちらかのチャクラがたらなかったり|どちらかが　術をふうじられてると」=
<hinata>「がったい忍術は　つかうことが|できないから・・・」=
<hinata>「あっ・・・　あと　“がったいこうげき”|っていうのが　あるんだけど」=
<hinata>「これは　なかまとの<blue>“あいしょう”<black>|つまり　なかよしどが　たかければ」=
<hinata>「てきに　あたえるダメージが|おおきくなるんだって・・・」=
<hinata>「こんな　かんじかな　・・・なんて」=
<naruto>「さんきゅー　ヒナタ！」=
<naruto>「わりーな　ヒナタ・・・|せつめいは　しなくていいってばよ」=
<hinata>「あっ・・・　うん　そ・・・　そだね|も・・・　もし　またききたくなったら」=
<hinata>「忍者学校の　<blue>２０１きょうしつ<black>に|いって　きいてね・・・」=
<sasuke>「おい！　もう　いくぞ！！」=
<naruto>「よーし　エロ仙人　とっつかまえてやる！」=
<hinata>「ナ・・・　ナルトくん・・・」=
<hinata>「あの・・・　その　えっと・・・|任務がんばってね・・・」=
<naruto>「おう！！」=
<narrator><instant>　きく|　きかない<0B>=
<narrator><instant><1312>キバが　なかまになった！=
