<naruto>「ネコほかく任務|ぶじ　しゅうりょうだってばよ！」=
<narrator>「しんぱいしたんだからな！　コイツゥ！」=
<narrator>「ニャ～～」=
<sakura>「もう　まいごになっちゃ　だめよ！」=
<narrator>「忍者さんたち　どうもありがとう」=
<narrator>依頼人（いらいにん）は|ほうしゅうを　わたした=
<homura>「うむ・・・　ごくろうであった」=
<naruto>「へへっ　どーってこと　ねーっての！！」=
<homura>「では　<blue>ほうしゅう<black>を　わたそう」=
<narrator>３５０両を　手にいれた=
<narrator><130D>ちぎれた巻物１を　てにいれた=
<narrator>ダミー=
<naruto>「ねェねェ！　ホムラのじいちゃん！|この<blue>ちぎれた巻物１<black>って　なんだってばよ？」=
<homura>「これは　<blue>だいじなもの<black>に　わけられる|うちのひとつじゃ・・・」=
<homura>「“だいじなもの”　についての|せつめいを　きくか？」=
<narrator><instant>　きく|　きかない<0B>=
<naruto>「もっちろん　きくってば！」=
<homura>「よかろう！　おまえたちのもっているどうぐには|ふつうのどうぐと　<blue>だいじなもの<black>がある」=
<homura>「だいじなものは　きほんてきには　うれないし|かえない　・・・また　すてることもできない」=
<homura>「だいじなものは　任務をすすめるうえで|じゅうようなどうぐだったり」=
<homura>「なにかをえるために　ひつようとなる|どうぐだったりするんじゃ」=
<naruto>「ヘェ～・・・　なるほど・・・」=
<naruto>「そんなこと　きかなくったって|ほんとは　しってるってばよ！」=
<homura>「そうか・・・　ならいいのだが」=
<sakura>「ホムラさま　コハルさま・・・　しつもんが|あるのですが　よろしいでしょうか？」=
<koharu>「なんだ？」=
<sakura>「けっきょく　ちぎれた巻物１　・・・って|いつ　つかうものなのですか？」=
<homura>「そーか・・・　おまえたちは|まだ　しらなかったのか・・・」=
<koharu>「火影のいえの　ヒミツについて|せつめいを　きくか？」=
<narrator><instant>　きく|　きかない<0B>=
<sakura>「きかせてください　コハルさま」=
<koharu>「よかろう・・・|つかいみちの　とくになさそうなものは」=
「<blue>火影のいえ<black>の　ちかしつに|もっていくと　なにかおこるばあいもある」=
<sakura>「えっ！？　火影さまのいえに|ちかしつなんて　あったかしら？」=
<koharu>「あるとも・・・　ただし　ちかしつへの|いきかたは　おまえたちでさがすのだ！」=
<homura>「ちかしつにある　おおきな巻物のまえで|だいじなものをつかう！　すると」=
<homura>「びっくりすることが　おこるぞ！|こころしてかかれ」=
<sasuke>「いったい　なにが　おこるってんだ？」=
<koharu>「まあ　いちど　やってみるのが|いいだろう」=
<koharu>「ただし！<w21>　じきがきていなかったり　ものに|よっては　かずがたらなかったりすると」=
<koharu>「うまくいかない　ばあいもあるから|ちゅういするんじゃぞ！」=
<sakura>「や・・・<w21>　やっぱり|えんりょしときます　コハルさま」=
<koharu>「そうか・・・<w21>　わかった|火影のいえの　たなをしらべると・・・」=
<koharu>「なにか　おこるかもしれんぞ・・・」=
<naruto>「はぁあ・・・<w21>|なーんか　きょうは　つかれたってば！」=
<sakura>「そうね・・・　ネコを　つかまえるのに|はしりまわったものね」=
<koharu>「任務が　おわったところに　わるいが|第７班には　あたらしい任務についてもらう」=
<naruto>「えーっ！！　ちっとくらい|やすましてくれたって　いーじゃん！」=
<kakashi>「わがままいわないの！|ナルト！　おまえだって　いまの里が」=
<kakashi>「どんな　じょうきょうかくらい|わかってるだろ」=
<naruto>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=
<kakashi>「・・・で<w21>　どんな　任務なんです？」=
<homura>「カカシ！　おまえには　すでに|ほかの任務が　でている・・・」=
<kakashi>「！」=
<kakashi>「・・・ということは|こいつらだけで　任務を！？」=
<koharu>「あんずるな！|こやつらかて　せいちょうしておる」=
<kakashi>「しかし！」=
<homura>「これは　めいれいだ！　忍（しのび）が|たりてないことは　わかっておるだろう？」=
<kakashi>「・<w5>・<w5>・<w21>わかりました|わたしは　つぎの任務へ　むかいます」=
<kakashi>「そのまえに　ひとつ・・・」=
<kakashi>「おまえたちに　おしえておかなきゃ|いけないことが　ある・・・」=
<kakashi>「任務のことや　たたかいかたについて|わからないことが　あれば」=
<kakashi>「忍者学校の　<blue>２０１きょうしつ<black>に|いくといい」=
<naruto>「いくと　なにがあんの？」=
<kakashi>「わからないことを　いろいろと|せつめいしてくれるから　こまったら　いけ」=
<naruto>「わかったってばよ！」=
<kakashi>「それじゃ　オレは　任務にいくから|おまえらも　がんばれよ」=
<homura>「さて<w5>・<w5>・<w5>・|おまえたちの　任務を　せつめいしよう」=
<koharu>「おまえたちの任務は|<blue>あるじんぶつ<black>を　さがしだすことだ」=
<naruto>「ある　じんぶつぅ？<w32>|・・・って　だれだってばよ！」=
<koharu>「おまえたちも　しっているであろう|<blue>でんせつの　三忍（さんにん）<black>のひとり」=
<koharu><instant>「<blue>自来也（じらいや）<black>を　さがしだすのだ！」=
<naruto><instant>「えーー！！」=
<naruto>「なんで　オレが　エロ仙人（せんにん）|なんか　さがさなきゃなんねーんだってばよ！」=
<sakura><instant>「つべこべ　いわない！！」=
<naruto>（オレは　ちんたら　エロ仙人さがすより|カカシ先生に　すっげェ術（じゅつ））=
<naruto>（おせーてもらって・・・　もっと　もっと|つよくなりてーのにィ！）=
<naruto>（なのに　カカシ先生　任務でいなくなるし|いったいどーしたら　・・・ん？<w32>　まてよ）=
<naruto>（エロ仙人みつけだして　あたらしい術|おしえてもらったら　いーんじゃねーの？）=
<naruto>「やる！<w21>　やるってばよ！！|このうずまきナルトさまに　まーかせとけって」=
<sakura>「いったい　なにかんがえてるんだか・・・|きのかわりの　はやいやつ！」=
<koharu>「では　はなしを　もどすぞ！　自来也の|ゆくえは　わしら“ごいけんばん”でも」=
<koharu>「けんとうが　ついておらんのじゃ」=
<sakura>「はぁ～　けんとうが　ついてないんじゃあ|なにから　はじめたら　いいんだろ」=
<sasuke>「なんでもいい！|なにか　じょうほうは　ないのか？」=
<homura>「<blue>エビス<black>が　自来也に　すうじつまえに|あったと　いっておったが・・・」=
<sasuke>「とりあえず　<blue>エビス<black>をさがして|はなしを　きくぞ！」=
<sakura>「わかったわ<red>♪<black>　サスケくん<red>♪♪<black>」=
<naruto>（クッソー！　サスケのやつ|カッコばっかつけやがって！）=
<naruto>（こーなったら　エロ仙人　みつけだして|あたらしい術　おせーてもらって）=
<naruto>（ぜってェ　サスケより|つよくなってやる！！）=
<sakura>「ナルト！　アンタ　なにやってんの？|エビス先生を　さがしにいくわよ」=
<naruto>「よっしゃー！　いくってばよ！！」=
