<kakashi>「ま！　しかし　こうたてつづけに|任務やら　しゅうにんしきやら　つづくと」=
<kakashi>「しょうじき　つかれるね・・・」=
<kurenai>「ああ<w21>　・・・でも　ここで　|やすんでいると　こころが　やすまるわね」=
<asuma>「さいきん　いそがしくて　ぶかたちにも|かまってやれてないしな<w5>・<w5>・<w5>・」=
<kurenai>「うちもだわ」=
<kakashi>「そうだなぁ<w5>・<w5>・<w5>・<w21>　そういや|ガイのヤツは　どこにいった？」=
<kurenai>「任務かしら？　さいきん　上忍どうしも|スレちがいがおおいから　わからないわ」=
<asuma>「そうだな<w5>・<w5>・<w5>・<w21>　こうして　オレら|３にんがあつまるのも　ひさしぶりだしな」=
<asuma>「このけはいは・・・？」=
<kakashi>「なんか　いやな　かんじだな<w5>・<w5>・<w5>・」=
<kurenai>「きょだいな　チャクラを|かんじるわね<w5>・<w5>・<w5>・」=
<kakashi>「なにものかが　しんにゅうしてきてる<w21>|・・・かもしれない」=
<kakashi>「アスマは　里の<blue>ひがし<black>を！　紅は　<blue>きた<black>を！|・・・オレは　<blue>ちゅうしん<black>　をしらべよう」=
<kurenai>「わかった」=
<asuma>「チッ・・・<w21>　めんどーなことに|なんねェと　いーんだが・・・」=
<kakashi>「よし！　散（さん）！！」=
