<tsunade>「オヤジィ！　ドンドンもってこい！！」=
<shizune>「綱手さま<w5>・<w5>・<w5>・<w5>　のみすぎです！」=
<jiraiya>「そーら　ついたぞ！」=
<tsunade>「<w5>・<w5>・<w5>・<w5>なにしにきた」=
<jiraiya>「つれないのォ<w5>・<w5>・<w5>・|にしても　やっぱり　ここにいたか」=
<jiraiya>「里から　おまえに五代目火影の　しゅうにん|ようせいが　でたのは　さっきはなしたな」=
「・・・で<w16>　三代目のことは　しっとるか？」=
<tsunade>「・・・大蛇丸が　やったんでしょ|ほんにんから　きいたわ」=
<jiraiya>「！」=
<tsunade>「ところで　このガキはなんだ？」=
<jiraiya>「うずまきナルトだよ<w5>・<w5>・<w5>・」=
<tsunade>（このガキが　<blue>九尾（きゅうび）<black>の・・・）=
<naruto>「それよか　なんで　こんなやつが　五代目|火影なんだよ！　なっとくできねェってば！」=
<jiraiya>「まだそんなことを　いっとるのかのォ|五代目火影は　この綱手しかありえない」=
<jiraiya>「せんそうにおいて　木ノ葉のしょうりに|おおきくこうけん」=
<jiraiya>「そのせんとう・いりょう忍術には　いまだ|かたを　ならべるものは　いない」=
<jiraiya>「さらに　初代（しょだい）火影のまごであり|木ノ葉の忍として　せいとうな血（ち）をもつ」=
<naruto>「ぐっ・・・」=
<tsunade>「フン・・・<w21>　自来也　この子は　まえのでしと|ちがって　しょうしょう　くちも　あたまも」=
<tsunade>「おまけに　かおまで　わるいみたいだねぇ」=
<naruto><instant>「ンだとォー！！」=
<jiraiya>「四代目に　くらべられりゃぁ|だれだって　キツイだろーよ！」=
<jiraiya>「なんせ　あやつは　忍としてのうつわは|れきだい１　だった」=
<jiraiya>「術のさいにあふれ　ずのうめいせき|じんぼうにみち　おとこまえだったしのォ」=
<tsunade>「<w5>・<w5>・<w5>・<w5>だが　その四代目ですら|すぐ　死んだ<w5>・<w5>・<w5>・」=
<tsunade>「里のために　いのちまでかけて|<w5>・<w5>・<w5>・<w5>いのちは　かねとは　ちがう」=
<tsunade>「かんたんに　かけすてするのは|バカのすることだ」=
<naruto>「！！」=
<tsunade>「わたしのじいさんも　二代目（にだいめ）も|へいわを　なにより　のぞんだらしいけど」=
<tsunade>「けっきょくは　ゆめなかばに　里のために|ぎせいになった　だけだしね」=
<jiraiya>「かわったな　綱手！　こころで　どう|おもっても　くちにまでだすとはな」=
<tsunade>「こうみえても　５０だいなんでね|さいげつは　ひとをかえるのよ」=
<tsunade>「猿飛（さるとび）先生もおなじよ」=
<tsunade>「としとった　ジジィが　いきがってりゃ|そりゃ　大蛇丸にやられるわ！」=
<jiraiya>「！！」=
<tsunade>「火影なんて　クソよ|バカいがい　やりゃしないわ」=
<naruto>「オレのまえで　じいちゃんや四代目を|バカにするようなやつ<w5>・<w5>・<w5>・」=
<naruto>「おんなだからって　かんけいねェ！|ちからいっぱい　ぶんなぐってやる！！」=
<tsunade>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=
<naruto>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=
<tsunade>「フン・・・<w16>　いいどきょうだね|このわたしに　むかって・・・」=
<tsunade>「ついてきな　<w16>・・・ガキ！<w21>|あいてして　やろうじゃないか！」=
<jiraiya>「<w5>・<w5>・<w5>・<w5>にしても　そのくびかざり|まだ　だいじに　もっとるとはのォ」=
<jiraiya>「あのふたりの　かたみなんだろ|それを　かけるとはな」=
<tsunade>「フン・・・・・・」=
<jiraiya>「きになるか・・・」=
<tsunade>「なにがだ？」=
<jiraiya>「・<w5>・<w5>・<w5>ナルトだよ」=
<tsunade>「・<w5>・<w5>・<w5>・<w5>・<w5>・<w5>べつに」=
<jiraiya>「それにしちゃあ　こどもあいてに|おとなげないのォ・・・」=
「あの術を　１にちで|マスターできるはずが　ないだろ」=
<tsunade>「チィ・・・」=
<jiraiya>「なに　ヤケになっておる」=
<tsunade>「べつに　なにも|ヤケになど　なってない！」=
<jiraiya>「また　大蛇丸に　あうのか？」=
<jiraiya>「やつが　どんな　とりひきを|もちかけてきたかは　しらんがのォ<w5>・<w5>・<w5>・」=
<jiraiya>「けつろんを　いそぐな！|それと　ひとことだけは　いっておく」=
<jiraiya>「れきだいの　火影たちは　木ノ葉の里と|そこに　いきるものたちを　まもり」=
<jiraiya>「らんせをおさめ　里をはんえいさせるという|そのりそう<w5>・<w5>・<w5>・」=
<jiraiya>「<blue>ゆめに　いのちをかけた<black>」=
<jiraiya>「せんだいのきもちが　わからぬ|おまえでは　ないだろう」=
<jiraiya>「もし　その木ノ葉の里を|うらぎるような　マネをしてみろ」=
<jiraiya>「そのときは　ワシが　おまえをたおすぞ」=
<tsunade>「・<w5>・<w5>・<w5>わたしには|もう　かんけいないでしょ」=
<jiraiya>「みぢかなものが　いなくなって|なにもかんじないのは　さつりくしゃだけだ」=
<jiraiya>「おまえは　ちがうだろ？」=
<jiraiya>「おまえほど　里のものたちの　みを|あんじているやつは　いなかった」=
<tsunade><instant>「そのくらいで　せっきょうはやめろ！」=
<tsunade>「どうして　あんなガキを|わたしのまえに　つれてきた<w5>・<w5>・<w5>・」=
<jiraiya>「にてるだろ？|としのころも　おなじくらいだよ<w5>・<w5>・<w5>・」=
<tsunade>（それだけじゃない<w5>・<w5>・<w5>・<w32>|そのゆめも　なまいきなところも）=
<shizune>「・・・・・・綱手さまには|あいするかたが　ふたりおられました」=
<shizune>「綱手さまのおとうと　縄樹（なわき）さま|そして　わたしのおじの　ダンです」=
<shizune>「しかし　よのなかは　せんらんじだい<w5>・<w5>・<w5>・<w5>|おふたりとも　木ノ葉の忍として　任務につき」=
<shizune>「木ノ葉の里を　まもるそんざいになる　という|こころざしなかばで　たおれました」=
<shizune>「綱手さまが　あの“くびかざり”を|たくした　つぎのひに<w5>・<w5>・<w5>・」=
<shizune>「おふたりとも　たおれたのです」=
<naruto>「綱手のバァちゃんが　きょうから|五代目火影に　なんのかぁ～～」=
<jiraiya>「なんだ　ふまんそうだのォ<w16>・・・　ナルト」=
<naruto>「だって　三代目のじぃちゃんと　くらべると|・・・なんだかなぁ」=
<naruto>「きしょうが　あらくって　ワガママっぽくて|かねにルーズで　いんけんで　バカだし」=
<naruto>「なーんか　ちゃーんと　やっていけんのか|しんぱいに　なってくるってばよ」=
<shizune>「あっ！？　あの　ツ・・・　綱手さま|なにか　ちゅうもんしましょうか？」=
<naruto>「だいたい　５０さいのババァなのに|わかく変化（へんげ）　してんのがなぁ」=
<naruto>「火影とも　あろうやつが|みんなに　ウソついてて　いいのかなぁ」=
<tsunade><instant>「おもてへ　でな！　ガキ！！」=
<shizune>「あひィ～～！」=
<jiraiya>（ハァ～・・・　なにやら　まえと|おなじような　てんかいだのォ・・・）=
